Nodes,SN1_DER,SN2_DER,SN3_DER
200,0.993798449612403,0.5746478873239437,1.0
1000,0.9188181296615031,0.5746762589928057,0.9981916817359855
2000,0.8490736556710348,0.5628447890263903,0.995189416716777
3000,0.7891412855251095,0.5607637135064147,0.9905346893565603
4000,0.7324773413897281,0.5831887119897382,0.9881121495327103
