Nodes,ALOHA_DER,Plain_LBT_DER,Classifier_LBT_DER
500,96.34966378482228,100.0,94.49101796407186
1000,93.51106639839034,100.0,92.41815048822517
2000,88.05352798053528,100.0,85.59205500381971
3000,83.12696054152221,100.0,78.81687242798354
4000,77.77091313480786,100.0,72.60506684393235
5000,74.51587143142345,100.0,65.93699946609716
