Nodes,ALOHA_DER,Plain_LBT_DER,Classifier_LBT_DER
500,99.78655282817502,100.0,99.76147883124628
1000,100.0,100.0,99.65850882185543
2000,99.3614931237721,100.0,99.34690157958687
3000,99.06883937479215,100.0,99.06985948941222
4000,99.22885572139305,99.98749374687344,98.84298746569755
5000,99.04047976011994,100.0,98.51425832734245
