#nrNodes nrCollisions nrTransmissions OverallEnergy
200 0 695 1.6278535680000001
1000 2 3427 8.211734784
2000 8 6689 16.159756800000004
3000 10 10181 24.116691456000005
4000 16 13481 32.117310720000006
500 0 947 2.1839685120000003
500 0 1011 2.4227258880000004
500 2 1721 4.130573568000001
1000 0 2064 4.939156992000001
1000 0 2067 4.807140096000001
1000 0 3168 7.465176576000001
2000 4 4046 9.68546304
2000 0 4016 9.569818368
2000 10 6603 15.736190976000001
3000 6 5973 14.072196864000002
3000 0 5913 13.899012864000001
3000 136 10136 269.78394854400005
4000 110 8057 217.20439065600002
200 0 685 16.582815744
1000 6 3318 98.38828876800001
2000 32 6652 182.242570752
3000 94 9931 263.230268928
500 2 937 25.037438976
500 0 892 22.613437440000002
500 4 1677 41.229923328
1000 0 1920 48.134836992
1000 0 1978 52.316149248
1000 12 3514 96.34458240000001
2000 26 4072 110.66622336
2000 0 3931 111.589015296
2000 43 6584 178.351954176
3000 56 6014 164.541957888
3000 0 6046 156.263804928
4000 159 13375 350.373881088
3000 94 10106 273.42238387199995
4000 62 8040 206.325875712
4000 0 7996 211.249792512
4000 156 13483 362.473360128
5000 96 10005 260.474497536
5000 0 10048 270.98476416000005
5000 248 16692 425.818432512
500 2 1018 24.944992512000002
500 6 983 24.987139583999998
500 0 1025 25.467230976
500 0 1071 29.1312384
500 0 969 22.648158719999998
500 0 1021 25.074812928
500 2 1038 28.704732672000002
500 0 951 26.906618112
500 2 1043 29.664003072
500 2 1032 27.341977344
1000 2 2091 56.277348864
1000 0 2005 53.702415359999996
1000 6 2069 52.995250176
1000 4 2069 56.502234623999996
1000 6 2013 53.242793472
1000 6 2068 54.210503424
1000 6 1904 51.655329792
1000 8 2048 54.494221056
1000 4 2036 55.871380224
1000 4 1967 50.43320832
2000 16 4020 105.588198144
2000 27 4167 119.258211072
2000 20 4085 97.63719398399999
2000 36 4045 108.97683456
2000 18 4124 109.38325094400001
2000 16 4208 109.812037632
2000 18 3985 101.425530624
2000 14 4034 96.582832896
2000 24 4048 104.154065664
2000 29 3902 107.675344128
3000 50 6059 155.075695104
3000 56 6033 163.42450713600002
3000 38 5997 156.423987456
3000 50 5964 164.816948736
3000 57 6002 156.559966464
3000 30 5873 158.7370752
3000 55 6134 160.11392179199999
3000 60 6066 157.762649088
3000 30 5952 158.01608064
3000 52 6080 167.45310489599999
4000 63 8033 202.634784
4000 71 7995 211.022389248
4000 107 8217 218.3419392
4000 86 8053 219.652502784
4000 84 8108 212.129854464
4000 63 7998 202.064729856
4000 62 8272 209.91725568
4000 68 8068 216.60055296000002
4000 73 7942 200.718997248
4000 76 7993 214.084755456
5000 128 10150 273.37360512
5000 141 9912 259.202025984
5000 130 9877 259.21090483200004
5000 119 10094 273.216920064
5000 138 10061 265.94832844800004
5000 123 10068 275.466411264
500 0 1031 29.718213888
500 0 1061 32.404483584
500 0 1012 26.820144384
500 0 1002 28.372709376000003
500 0 968 25.759514879999998
500 0 1021 26.250588672000003
500 0 978 26.870612736
500 0 955 25.231633152
500 0 974 24.504032256000002
500 0 1007 26.509959168
5000 128 9845 270.947787264
5000 100 10029 257.359981824
1000 0 2114 55.897509888
5000 129 10033 264.295502592
1000 0 2034 55.066243584
1000 0 2013 50.260683264
1000 0 2005 51.813755136
1000 0 1949 51.972408576
1000 0 2035 49.068112895999995
1000 0 2061 54.152288256000006
1000 0 2061 53.91965568
5000 156 10042 273.637343232
1000 0 1955 56.167828992
1000 0 2038 58.338956544
2000 0 4177 105.582816768
2000 0 4093 110.588704512
2000 0 4048 108.446283264
2000 0 4036 107.79544934399999
2000 0 3839 93.408023808
2000 0 3934 104.044883712
2000 0 4090 110.138958336
2000 0 4035 112.494970368
2000 0 3963 99.18994483200001
2000 0 3967 101.29557504
3000 0 5983 160.452407808
3000 0 6113 160.270758912
3000 0 5964 152.80080076800002
3000 0 6023 161.95677696
3000 0 5992 163.197500928
3000 0 6047 168.516767232
3000 0 6110 154.694403072
3000 0 6095 161.201998848
3000 0 6092 163.01145062400002
3000 0 5927 159.074006784
4000 0 7949 218.396361216
4000 0 8147 209.605803264
4000 0 8120 215.18867251199998
4000 0 7894 208.679150592
4000 0 8045 212.626343424
4000 0 7928 210.62110924799998
4000 0 7978 211.24185984
4000 0 7984 206.715556608
4000 0 8180 215.344217088
4000 0 8080 213.066906624
5000 0 9948 258.882598656
5000 0 10110 267.673621248
5000 0 10108 276.906660096
5000 0 10097 272.054635776
5000 0 10214 268.77186969599995
5000 0 10015 263.721824256
5000 0 10240 275.940352512
5000 0 10197 260.630988288
5000 0 10042 258.294068736
5000 0 10007 261.822789888
500 2 1658 47.27593728
500 0 1548 34.70641152
500 4 1742 47.681466623999995
500 4 1696 34.594509312
500 6 1643 45.359981568
500 4 1771 46.352722944
500 0 1557 41.625002496
500 2 1760 55.205035776
500 6 1683 44.36862566400001
500 8 1664 43.592803584
1000 12 3334 90.802812672
1000 14 3377 93.337373184
1000 8 3518 92.53744051199999
1000 12 3263 91.32271104
1000 6 3362 91.842626304
1000 8 3381 100.026212352
1000 20 3344 95.865656832
1000 6 3312 83.89968998399999
1000 16 3257 80.081227776
1000 13 3521 91.40879616
2000 34 6599 175.217281536
2000 42 6749 180.061018368
2000 42 6457 177.474941952
2000 36 6582 174.122336256
2000 42 6820 174.169999872
2000 33 6656 169.983145728
2000 28 6668 169.492088832
2000 46 6713 174.90418176
2000 28 6865 179.217071616
2000 42 6803 180.362189568
3000 102 10028 262.56561408
3000 112 9982 259.635492864
3000 72 10005 261.426713856
3000 153 10159 264.393431808
3000 105 10081 266.786809344
3000 102 10066 269.87198515200004
3000 80 10222 264.2308416
3000 90 10072 262.354185984
3000 80 10155 252.080902656
3000 96 9992 273.405724416
4000 161 12942 358.81854412800004
4000 192 13482 357.59209728
4000 155 13624 365.509360128
4000 187 13100 341.335196928
4000 150 13223 332.34820608
4000 139 13378 339.763514112
4000 145 13228 337.12010956800003
4000 156 13449 351.798982656
4000 188 13545 369.030207744
4000 193 13710 370.966058496
500 2 1052 26.379665664
500 0 972 27.340363776
500 0 1028 25.915245312
500 0 976 28.69709568
500 0 1042 29.893788672000003
500 4 996 26.656210944
500 0 1081 28.510622976
500 4 991 25.799372544
500 0 1012 27.364440576
500 2 1000 24.696469248
1000 4 1996 50.423510016
1000 6 1866 51.300978432
1000 4 2052 55.09329408
1000 16 2057 53.631215616000006
1000 6 1962 49.084290816
1000 8 1909 50.89283020800001
1000 10 2004 50.074683648000004
1000 6 1969 52.974966528
1000 6 2062 50.701643520000005
1000 6 2034 53.746649088
2000 14 3993 98.90819558400001
2000 20 4078 111.854569728
2000 10 3897 104.7978624
2000 20 4048 98.762873088
2000 16 3963 106.548980736
2000 12 4100 107.09622528
2000 16 3934 107.920361472
2000 20 4072 105.238273536
2000 24 3923 109.625227008
2000 14 3925 103.932305664
3000 48 6030 162.538818816
3000 50 6017 156.627558912
3000 51 6137 163.92261811199998
3000 46 6173 166.41702528
3000 42 6054 161.82380544
3000 44 5908 161.150719488
3000 60 5928 160.34816793599998
3000 24 5918 157.10107775999998
3000 28 6076 156.64142208
3000 56 6050 165.731520768
4000 84 7996 216.454250496
4000 72 7861 203.52477235199999
4000 72 7996 208.98637056
4000 60 8021 208.320642816
4000 68 8066 208.981411584
4000 91 8082 218.365433088
4000 100 8168 210.976432128
4000 72 8093 212.17939353600002
4000 70 7941 208.443975168
4000 76 8003 215.053242624
5000 140 10103 267.1196352
5000 163 10023 262.380704256
5000 135 10081 259.55119027200004
5000 115 9919 258.132221952
5000 88 9760 247.39847193600002
5000 132 9915 264.3998016
500 0 963 25.024361472
500 0 961 25.627996416000002
500 0 982 27.403090176
500 0 1043 28.03418112
500 0 1012 25.795646976
500 0 981 24.888010752
