#nrNodes nrCollisions nrTransmissions OverallEnergy
500 36 1006 175.14096230400003
500 28 990 172.35542016000002
500 22 966 168.177106944
500 26 996 173.39999846400002
500 26 1012 176.185540608
500 42 1011 176.011444224
500 24 988 172.00722739200003
1000 130 2023 352.196984832
1000 95 1934 336.702406656
1000 128 1984 345.4072258560001
1000 97 2010 349.93373184
1000 127 2032 353.76385228800007
1000 130 2074 361.0759004160001
1000 132 2027 352.89337036800003
1000 125 1934 336.702406656
1000 125 2003 348.71505715200004
1000 130 2040 355.15662336
2000 486 4111 715.7102346240001
2000 491 4104 714.4915599360002
2000 462 4057 706.3090298880002
2000 468 4019 699.6933672960001
2000 463 4060 706.83131904
2000 470 4039 703.175294976
2000 456 4029 701.4343311360001
2000 445 3978 692.555415552
2000 492 4051 705.2644515840001
2000 420 4057 706.3090298880002
3000 1060 5989 1042.6632437760002
3000 1031 6126 1066.5144483840002
3000 929 5961 1037.788545024
3000 993 5993 1043.3596293120002
3000 1000 5965 1038.4849305600003
3000 1035 6001 1044.752400384
3000 1032 6012 1046.667460608
3000 1032 5978 1040.7481835520002
3000 977 5967 1038.833123328
3000 936 5898 1026.8204728320002
500 0 1038 180.712046592
500 0 1018 177.23011891200002
500 0 996 173.39999846400002
500 0 991 172.52951654400002
500 0 1068 185.93493811200003
500 0 1021 177.752408064
500 0 993 172.877709312
500 0 1004 174.792769536
500 0 1026 178.62288998400004
4000 1708 8019 1396.0789032960001
4000 1751 8055 1402.3463731200002
4000 1655 7986 1390.333722624
500 0 996 173.39999846400002
1000 0 2044 355.853008896
1000 0 1969 342.79578009600004
1000 0 2048 356.54939443200004
1000 0 2000 348.19276800000006
4000 1787 8079 1406.5246863360003
1000 0 2027 352.89337036800003
4000 1882 8242 1434.9023969280001
4000 1854 8061 1403.3909514240001
1000 0 1959 341.05481625600004
4000 1889 8088 1408.091553792
1000 0 2015 350.80421376000004
4000 1914 8236 1433.8578186240002
4000 1803 8075 1405.8283008
4000 1763 7981 1389.4632407040003
1000 0 1976 344.01445478400007
1000 0 1957 340.70662348800005
1000 0 2051 357.071683584
2000 0 3915 681.5873433600001
2000 0 3882 675.842162688
2000 0 4108 715.1879454720001
2000 0 3961 689.5957770240001
2000 0 4036 702.6530058240002
2000 0 4091 712.2283069440001
2000 0 4059 706.6572226560002
2000 0 3940 685.9397529600001
2000 0 4104 714.4915599360002
2000 0 4056 706.1349335040001
3000 0 5964 1038.310834176
5000 2459 9793 1704.9258885120003
5000 2539 9897 1723.0319124480002
5000 2691 10195 1774.91263488
3000 0 5792 1008.3662561280001
3000 0 6012 1046.667460608
3000 0 6039 1051.3680629760001
3000 0 5918 1030.302400512
3000 0 6095 1061.11746048
3000 0 5932 1032.7397498880002
3000 0 6023 1048.5825208320002
3000 0 5989 1042.6632437760002
3000 0 6165 1073.3042073600002
5000 2800 10142 1765.685526528
5000 2642 10026 1745.4903459840002
5000 2621 9999 1740.7897436160001
5000 2735 10032 1746.5349242880002
5000 2665 10022 1744.7939604480002
5000 2678 10007 1742.1825146880003
5000 2573 10002 1741.312032768
4000 0 8007 1393.9897466880002
4000 0 7931 1380.7584215040001
4000 0 7956 1385.110831104
4000 0 8042 1400.0831201280002
4000 0 7883 1372.4017950720004
4000 0 8039 1399.560830976
4000 0 8077 1406.176493568
4000 0 8081 1406.872879104
4000 0 7879 1371.7054095360002
4000 0 8107 1411.3993850880001
5000 0 10064 1752.1060085760002
5000 0 10052 1750.016851968
5000 0 10140 1765.3373337600003
5000 0 10026 1745.4903459840002
5000 0 10244 1783.443357696
5000 0 9952 1732.6072135680004
5000 0 10183 1772.8234782720003
5000 0 10152 1767.4264903680003
5000 0 10038 1747.5795025920002
5000 0 9964 1734.696370176
500 63 1535 267.23794944
500 73 1620 282.03614208000005
500 88 1684 293.178310656
500 50 1694 294.91927449600007
500 77 1716 298.749394944
500 50 1748 304.320479232
500 76 1753 305.190961152
500 72 1763 306.93192499200006
500 78 1781 310.06565990400003
500 85 1796 312.677105664
1000 255 3359 584.7897538560001
1000 260 3293 573.299392512
1000 261 3307 575.736741888
1000 255 3332 580.0891514880001
1000 217 3324 578.6963804160001
1000 225 3258 567.206019072
1000 234 3383 588.968067072
1000 264 3305 575.3885491200001
1000 249 3311 576.4331274240001
1000 233 3415 594.53915136
2000 986 6645 1156.87047168
2000 970 6627 1153.7367367680001
2000 1012 6804 1184.5517967360001
2000 964 6636 1155.3036042240003
2000 931 6479 1127.9704719360002
2000 989 6662 1159.8301102080002
2000 992 6786 1181.4180618240002
2000 1116 6853 1193.0825195520001
2000 1119 6974 1214.148182016
2000 972 6775 1179.5030016
3000 2110 9897 1723.0319124480002
3000 2076 10001 1741.1379363840003
3000 2166 10179 1772.1270927360003
3000 2031 9724 1692.9132380160004
3000 2138 9959 1733.8258882560003
3000 2193 10198 1775.4349240320003
3000 2088 9919 1726.862032896
3000 2230 10077 1754.3692615680004
3000 2213 10079 1754.7174543360002
3000 2194 10061 1751.5837194240003
