Nodes,Baseline_DER,Proposed_LBT_DER
500,96.46125686394143,95.16616314199395
1000,89.10776361529548,92.2017003811199
1500,86.54681943895693,87.5243664717349
2000,81.17456579334707,85.0373692077728
2500,76.66589273276062,82.18775702032663
3000,73.16077650572424,79.01458019105078
3500,71.4385110453992,76.00908614363097
4000,67.0844277673546,72.74089614865878
4500,63.27901563019621,69.98663101604278
5000,59.91929655504698,65.96499526963103
