Scenario,Config,Approach,Nodes,DER
1,SN1,Classifier_LBT,1000,0.9247961340984597
1,SN1,Classifier_LBT,1000,0.9317715959004392
1,SN1,Classifier_LBT,2000,0.8516177577125659
1,SN1,Classifier_LBT,2000,0.8536290931039686
1,SN1,Classifier_LBT,2000,0.8512639623750735
1,SN1,Classifier_LBT,2000,0.8547317661241712
1,SN1,Classifier_LBT,2000,0.8563049853372434
1,SN1,Classifier_LBT,2000,0.8513959771840288
1,SN1,Classifier_LBT,2000,0.8538166814028882
1,SN1,Classifier_LBT,2000,0.8371516124325113
1,SN1,Classifier_LBT,2000,0.8395468884427875
1,SN1,Classifier_LBT,2000,0.8565313653136531
1,SN1,Classifier_LBT,3000,0.7867030413256543
1,SN1,Classifier_LBT,3000,0.7924207579242076
1,SN1,Classifier_LBT,3000,0.7872089596227527
1,SN1,Classifier_LBT,3000,0.7910324969148499
1,SN1,Classifier_LBT,3000,0.7849578348695823
1,SN1,Classifier_LBT,3000,0.7894949087609638
1,SN1,Classifier_LBT,3000,0.7787039793589362
1,SN1,Classifier_LBT,3000,0.7853198112260267
1,SN1,Classifier_LBT,3000,0.7804345669213215
1,SN3,ALOHA,500,0.9980353634577603
1,SN1,Classifier_LBT,3000,0.7818308319252559
1,SN3,ALOHA,500,0.9938962360122076
1,SN3,ALOHA,500,1.0
1,SN3,ALOHA,500,1.0
1,SN3,ALOHA,500,1.0
1,SN3,ALOHA,500,1.0
1,SN3,ALOHA,500,0.9980732177263969
1,SN3,ALOHA,500,1.0
1,SN3,ALOHA,500,0.9980824544582934
1,SN3,ALOHA,500,0.998062015503876
1,SN3,ALOHA,1000,0.9990435198469632
1,SN3,ALOHA,1000,1.0
1,SN3,ALOHA,1000,0.9971000483325277
1,SN3,ALOHA,1000,0.9980666988883519
1,SN3,ALOHA,1000,0.9970193740685543
1,SN3,ALOHA,1000,0.9970986460348162
1,SN3,ALOHA,1000,0.9968487394957983
1,SN3,ALOHA,1000,0.99609375
1,SN3,ALOHA,1000,0.9980353634577603
1,SN3,ALOHA,1000,0.9979664463650229
1,SN3,ALOHA,2000,0.9960199004975124
1,SN3,ALOHA,2000,0.9935205183585313
1,SN3,ALOHA,2000,0.9951040391676866
