#nrNodes nrCollisions nrTransmissions OverallEnergy
10 0 2 0.45200179200000007
10 0 2 0.45200179200000007
10 0 2 0.45200179200000007
500 30 985 222.61088256000002
500 0 963 217.63886284800003
500 105 1668 376.96949452800004
500 42 993 224.41888972800004
500 24 1008 227.80890316800003
500 38 966 218.31686553600005
500 36 1034 233.68492646400006
500 40 957 216.28285747200005
500 26 994 224.64489062400006
500 38 970 219.22086912000003
500 38 992 224.19288883200005
500 34 1042 235.49293363200002
500 42 974 220.124872704
500 46 1046 236.39693721600005
500 42 1030 232.78092288000002
500 42 1033 233.45892556800004
500 24 1006 227.35690137600005
500 40 1003 226.67889868800003
500 34 943 213.11884492800004
500 30 1012 228.71290675200004
500 41 1078 243.62896588800004
500 37 1046 236.39693721600005
500 54 991 223.96688793600006
500 53 986 222.83688345600004
500 44 998 225.54889420800004
500 44 1009 228.03490406400005
500 40 1021 230.74691481600004
500 30 962 217.41286195200001
500 49 1043 235.71893452800003
500 47 1003 226.67889868800003
500 33 973 219.89887180800002
500 36 1009 228.03490406400005
500 45 975 220.35087360000003
500 25 1072 242.27296051200003
500 36 979 221.25487718400004
500 58 1105 249.73099008000005
500 34 991 223.96688793600006
500 46 1037 234.36292915200005
500 34 1015 229.39090944000003
500 44 1055 238.43094528000003
500 30 926 209.27682969600005
500 28 975 220.35087360000003
500 38 979 221.25487718400004
500 32 964 217.86486374400005
500 54 994 224.64489062400006
500 29 1027 232.10292019200003
500 33 1058 239.10894796800002
500 42 1046 236.39693721600005
500 42 989 223.51488614400003
500 39 1040 235.04093184000004
500 56 965 218.09086464000004
500 48 984 222.38488166400003
500 56 1089 246.11497574400005
500 41 998 225.54889420800004
500 38 965 218.09086464000004
500 45 1011 228.48690585600005
500 46 1010 228.26090496000003
500 44 980 221.48087808000005
500 42 1008 227.80890316800003
500 48 1025 231.65091840000002
500 32 1019 230.29491302400004
500 56 1048 236.84893900800006
500 47 1024 231.42491750400004
500 46 999 225.77489510400002
500 31 950 214.70085120000002
500 51 1039 234.81493094400003
500 52 987 223.06288435200003
500 47 994 224.64489062400006
500 46 1005 227.13090048000004
500 38 1033 233.45892556800004
500 40 963 217.63886284800003
500 28 1019 230.29491302400004
500 31 989 223.51488614400003
500 45 975 220.35087360000003
500 39 993 224.41888972800004
500 47 1037 234.36292915200005
500 37 985 222.61088256000002
500 31 1035 233.91092736000004
500 31 1009 228.03490406400005
500 60 1013 228.93890764800003
500 28 963 217.63886284800003
500 44 979 221.25487718400004
500 36 956 216.05685657600003
500 55 968 218.76886732800003
500 32 1004 226.90489958400002
500 44 988 223.288885248
500 18 1023 231.19891660800005
500 42 1002 226.45289779200002
500 46 995 224.87089152000004
500 36 1046 236.39693721600005
500 42 1016 229.61691033600002
500 28 1034 233.68492646400006
500 29 996 225.09689241600003
500 34 990 223.74088704000002
500 28 987 223.06288435200003
500 39 979 221.25487718400004
500 36 1006 227.35690137600005
500 32 1028 232.32892108800002
500 38 1010 228.26090496000003
500 48 972 219.67287091200004
500 58 1059 239.334948864
500 54 1070 241.82095872000002
1000 147 2032 459.23382067200004
1000 144 1982 447.933775872
1000 147 2003 452.6797946880001
1000 133 1982 447.9337758720001
1000 183 2020 456.52180992000007
1000 147 2056 464.65784217600003
1000 142 1960 442.9617561600001
1000 183 2110 476.86189056000006
1000 141 1994 450.6457866240001
1000 153 1926 435.27772569600006
1000 121 1953 441.37974988800005
1000 160 2053 463.9798394880001
1000 164 1935 437.31173376000004
1000 156 2033 459.45982156800005
1000 147 2037 460.36382515200006
1000 181 2109 476.6358896640001
1000 158 2036 460.13782425600004
1000 174 2013 454.93980364800007
1000 144 1961 443.18775705600007
1000 172 2015 455.39180544000004
1000 147 2028 458.3298170880001
1000 166 2025 457.6518144000001
1000 134 1923 434.59972300800007
1000 158 2017 455.8438072320001
1000 146 2099 474.37588070400005
1000 159 1985 448.61177856000006
1000 139 1985 448.61177856000006
1000 150 2036 460.13782425600004
1000 140 2039 460.8158269440001
1000 183 2030 458.78181888000006
1000 124 1974 446.12576870400005
1000 200 2097 473.9238789120001
1000 170 2013 454.93980364800007
1000 116 1964 443.86575974400006
1000 160 2024 457.4258135040001
1000 159 1956 442.0577525760001
1000 168 1932 436.6337310720001
1000 140 1990 449.7417830400001
1000 154 2077 469.40386099200003
1000 160 2011 454.4878018560001
1000 143 1935 437.31173376000004
1000 170 1972 445.6737669120001
1000 156 2029 458.5558179840001
1000 158 2002 452.45379379200006
1000 166 1960 442.9617561600001
1000 157 1994 450.6457866240001
1000 153 1931 436.4077301760001
1000 146 2029 458.5558179840001
1000 159 1916 433.01771673600007
1000 194 2092 472.7938744320001
1000 154 1935 437.31173376000004
1000 188 2020 456.52180992000007
1000 166 1995 450.87178752000005
1000 149 1961 443.18775705600007
1000 150 1965 444.09176064
1000 196 2005 453.1317964800001
1000 147 2054 464.20584038400006
1000 150 1999 451.77579110400006
1000 163 2022 456.9738117120001
1000 128 1969 444.9957642240001
1000 185 2053 463.9798394880001
1000 145 2003 452.6797946880001
1000 147 2020 456.52180992000007
1000 151 1950 440.70174720000006
1000 145 2058 465.10984396800006
1000 144 2006 453.35779737600006
1000 168 2014 455.1658045440001
1000 144 2024 457.4258135040001
1000 144 1978 447.02977228800006
1000 128 2044 461.94583142400006
1000 166 1984 448.3857776640001
1000 156 2004 452.90579558400003
1000 193 2076 469.1778600960001
1000 151 1935 437.31173376000004
1000 132 2052 463.7538385920001
1000 174 2073 468.499857408
1000 150 1903 430.0797050880001
1000 131 2003 452.6797946880001
1000 155 2089 472.11587174400006
1000 166 2096 473.6978780160001
1000 141 1945 439.5717427200001
1000 126 1943 439.1197409280001
1000 122 2006 453.35779737600006
1000 160 1969 444.9957642240001
1000 143 1955 441.8317516800001
1000 156 1980 447.48177408000004
1000 132 2002 452.45379379200006
1000 145 1999 451.77579110400006
1000 149 2037 460.36382515200006
1000 149 1993 450.419785728
1000 185 2084 470.98586726400003
1000 151 2029 458.5558179840001
1000 140 1971 445.4477660160001
1000 160 1995 450.87178752000005
1000 123 1914 432.5657149440001
1000 163 1901 429.62770329600005
1000 150 1997 451.3237893120001
1000 156 2110 476.86189056000006
1000 156 2033 459.45982156800005
1000 174 2009 454.03580006400006
2000 568 3957 894.2855454720001
2000 654 4169 942.1977354240001
2000 571 3887 878.4654827520001
2000 550 4054 916.2076323840001
2000 600 3975 898.3535616000001
2000 663 4081 922.3096565760001
2000 597 3917 885.2455096320001
2000 613 3968 896.7715553280002
2000 562 4012 906.7155947520001
2000 582 4041 913.2696207360002
2000 590 3902 881.8554961920001
2000 586 4014 907.1675965440002
2000 544 4058 917.1116359680002
2000 545 3955 893.8335436800002
2000 600 4025 909.6536064000001
2000 587 4058 917.1116359680002
2000 565 4038 912.5916180480001
2000 551 4039 912.8176189440002
2000 564 3974 898.1275607040001
2000 559 4019 908.2976010240002
2000 617 4006 905.3595893760001
2000 525 3832 866.0354334720001
2000 603 4110 928.8636825600001
2000 557 3934 889.0875248640001
2000 579 3984 900.3875696640001
2000 572 3959 894.7375472640002
2000 611 4011 906.4895938560002
2000 576 4009 906.0375920640001
2000 601 4080 922.0836556800002
2000 559 4049 915.0776279040001
2000 570 3961 895.1895490560001
2000 627 4081 922.3096565760001
2000 631 4148 937.4517166080002
2000 547 3971 897.4495580160002
2000 577 3957 894.2855454720001
2000 546 4096 925.6996700160001
2000 681 4110 928.8636825600001
2000 600 3981 899.7095669760002
2000 554 3882 877.3354782720002
2000 670 4105 927.7336780800001
2000 575 3981 899.7095669760002
2000 590 4050 915.3036288000002
2000 629 4089 924.1176637440002
2000 527 3855 871.2334540800001
2000 617 4033 911.4616135680002
2000 631 4057 916.8856350720001
2000 596 3974 898.1275607040001
2000 623 4037 912.3656171520001
2000 570 4010 906.2635929600002
2000 585 4017 907.8455992320002
2000 548 4034 911.6876144640001
2000 589 3991 901.9695759360001
2000 619 3976 898.5795624960002
2000 562 4035 911.9136153600001
2000 624 3971 897.4495580160002
2000 572 3968 896.7715553280002
2000 610 4060 917.5636377600001
2000 541 3944 891.3475338240002
2000 606 4038 912.5916180480001
2000 566 3946 891.7995356160002
2000 575 3909 883.4375024640001
2000 616 4048 914.8516270080002
2000 626 4068 919.3716449280001
2000 584 4042 913.495621632
2000 563 3903 882.0814970880002
2000 576 3923 886.6015150080001
2000 594 4012 906.7155947520001
2000 603 4034 911.6876144640001
2000 559 3989 901.5175741440002
2000 573 4003 904.681586688
2000 553 3945 891.5735347200001
2000 532 3899 881.1774935040002
2000 519 3897 880.7254917120001
2000 555 4024 909.4276055040002
2000 538 3989 901.5175741440002
2000 644 4044 913.9476234240002
2000 599 3978 899.0315642880001
2000 579 3986 900.839571456
2000 555 3907 882.9855006720002
2000 584 3983 900.1615687680002
2000 616 3981 899.7095669760002
2000 614 4075 920.9536512000002
2000 617 4011 906.4895938560002
2000 644 4049 915.0776279040001
2000 590 4052 915.7556305920001
2000 651 4069 919.5976458240001
